drive_id,game_id,drive_num,pos_team_id,pos_team,drive_result,drive_yards,drive_start_yards_to_goal,drive_end_yards_to_goal,drive_points,drive_time_minutes_start,drive_time_seconds_start,drive_time_minutes_end,drive_time_seconds_end,drive_time_minutes_elapsed,drive_time_seconds_elapsed
0,401628319,1,289,Western Kentucky,PUNT,6,75,69,0,15,0,12,50,2,10
1,401628319,2,3,Alabama,PUNT,-3,69,72,0,12,50,11,20,1,30
2,401628319,3,289,Western Kentucky,INT,2,80,78,0,11,20,10,48,0,32
3,401628319,4,3,Alabama,TD,16,16,0,7,10,48,10,7,0,41
4,401628319,5,289,Western Kentucky,INT,53,75,22,0,10,7,6,32,3,35
5,401628319,6,3,Alabama,TD,26,26,0,7,6,32,5,1,1,31
6,401628319,7,289,Western Kentucky,PUNT,5,75,70,0,5,1,3,46,1,15
7,401628319,8,3,Alabama,TD,81,81,0,7,3,46,2,27,1,19
8,401628319,9,289,Western Kentucky,PUNT,5,75,70,0,2,27,1,39,0,48
9,401628319,10,3,Alabama,FUMBLE,-8,72,64,0,1,39,0,12,1,27
10,401628319,11,289,Western Kentucky,MISSED FG,0,20,20,0,0,12,13,39,1,33
11,401628319,12,3,Alabama,TD,80,80,0,7,13,39,12,35,1,4
12,401628319,13,289,Western Kentucky,DOWNS,71,75,8,0,12,35,3,26,9,9
13,401628319,14,3,Alabama,TD,96,96,0,7,3,26,2,53,0,33
14,401628319,15,289,Western Kentucky,PUNT,4,75,71,0,2,53,1,45,1,8
15,401628319,16,3,Alabama,TD,55,55,0,7,1,45,1,30,0,15
16,401628319,17,289,Western Kentucky,END OF HALF,0,75,75,0,1,30,0,0,1,30
17,401628319,18,3,Alabama,PUNT,4,75,71,0,15,0,13,13,1,47
18,401628319,19,289,Western Kentucky,PUNT,-1,83,84,0,13,13,10,40,2,33
19,401628319,20,3,Alabama,TD,61,61,0,7,10,40,6,30,4,10
20,401628319,21,289,Western Kentucky,PUNT,-2,80,82,0,6,30,5,38,0,52
21,401628319,22,3,Alabama,TD,53,53,0,7,5,38,2,51,2,47
22,401628319,23,289,Western Kentucky,PUNT,3,75,72,0,2,51,1,39,1,12
23,401628319,24,3,Alabama,PUNT,1,75,74,0,1,39,0,45,0,54
24,401628319,25,289,Western Kentucky,PUNT,-1,72,73,0,0,45,14,2,1,43
25,401628319,26,3,Alabama,TD,79,79,0,7,14,2,10,4,3,58
26,401628319,27,289,Western Kentucky,PUNT,5,73,68,0,10,4,8,39,1,25
27,401628319,28,3,Alabama,END OF GAME,55,67,12,0,8,39,0,0,8,39
28,401628320,1,10,Arkansas,TD,66,66,0,7,14,54,12,8,2,46
29,401628320,2,10,Arkansas,PUNT,-4,75,79,0,12,8,10,37,1,31
30,401628320,3,10,Arkansas,TD,40,40,0,7,10,37,8,16,2,21
31,401628320,4,10,Arkansas,PUNT,-1,75,76,0,8,16,6,14,2,2
32,401628320,5,10,Arkansas,TD,60,60,0,7,6,14,5,3,1,11
33,401628320,6,12,Arkansas-Pine Bluff,PUNT,0,75,75,0,5,3,3,17,1,46
34,401628320,7,10,Arkansas,TD,40,40,0,7,3,17,1,12,2,5
35,401628320,8,12,Arkansas-Pine Bluff,PUNT,8,75,67,0,1,12,0,0,1,12
36,401628320,9,10,Arkansas,TD,65,65,0,7,15,0,12,6,2,54
37,401628320,10,10,Arkansas,PUNT,28,75,47,0,12,6,8,46,3,20
38,401628320,11,10,Arkansas,TD,81,81,0,7,8,46,5,37,3,9
39,401628320,12,10,Arkansas,PUNT,29,75,46,0,5,37,1,42,3,55
40,401628320,13,10,Arkansas,TD,77,77,0,7,1,42,0,9,1,33
41,401628320,14,12,Arkansas-Pine Bluff,END OF HALF,4,78,74,0,0,4,0,0,0,4
42,401628320,15,12,Arkansas-Pine Bluff,PUNT,2,75,73,0,15,0,8,31,6,29
43,401628320,16,10,Arkansas,TD,67,67,0,7,8,31,6,13,2,18
44,401628320,17,10,Arkansas,PUNT,20,75,55,0,6,13,3,31,2,42
45,401628320,18,10,Arkansas,TD,86,86,0,7,3,31,8,14,10,17
46,401628320,19,10,Arkansas,PUNT,20,75,55,0,8,14,4,11,4,3
47,401628320,20,10,Arkansas,TD,90,90,0,7,4,11,0,36,3,35
48,401628320,21,12,Arkansas-Pine Bluff,END OF GAME,2,75,73,0,0,36,0,0,0,36
49,401628321,1,14,Auburn,TD,70,70,0,7,15,0,14,13,0,47
50,401628321,2,4,Alabama A&M,PUNT,5,75,70,0,14,13,12,59,1,14
51,401628321,3,14,Auburn,TD,67,67,0,7,12,59,12,47,0,12
52,401628321,4,4,Alabama A&M,PUNT,-1,75,76,0,12,47,11,46,1,1
53,401628321,5,14,Auburn,TD,44,44,0,7,11,46,11,39,0,7
54,401628321,6,4,Alabama A&M,MISSED FG,63,75,12,0,11,39,6,59,4,40
55,401628321,7,14,Auburn,PUNT,4,80,76,0,6,59,6,3,0,56
56,401628321,8,4,Alabama A&M,PUNT,7,65,58,0,6,3,4,18,1,45
57,401628321,9,14,Auburn,TD,65,65,0,7,4,18,2,0,2,18
58,401628321,10,4,Alabama A&M,PUNT,-10,75,85,0,2,0,14,47,2,13
59,401628321,11,14,Auburn,FG,7,21,14,3,14,47,13,48,0,59
60,401628321,12,4,Alabama A&M,DOWNS,45,63,18,0,13,41,10,44,2,57
61,401628321,13,14,Auburn,TD,82,82,0,7,10,44,10,10,0,34
62,401628321,14,4,Alabama A&M,FG,57,83,26,3,10,3,6,0,4,3
63,401628321,15,14,Auburn,TD,75,75,0,7,5,53,3,22,2,31
64,401628321,16,4,Alabama A&M,PUNT,3,87,84,0,3,16,1,57,1,19
65,401628321,17,14,Auburn,TD,47,47,0,7,1,56,0,51,1,5
66,401628321,18,4,Alabama A&M,END OF HALF,9,75,66,0,0,51,0,0,0,51
67,401628321,19,4,Alabama A&M,PUNT TD,7,86,79,-7,9,54,8,25,1,29
68,401628321,20,4,Alabama A&M,MISSED FG,62,75,13,0,8,25,3,12,5,13
69,401628321,21,14,Auburn,TD,80,80,0,7,3,12,1,40,1,32
70,401628321,22,4,Alabama A&M,PUNT,-5,75,80,0,1,40,0,0,1,40
71,401628321,23,14,Auburn,TD,42,42,0,7,15,0,9,9,5,51
72,401628321,24,4,Alabama A&M,PUNT,-7,80,87,0,8,59,6,53,2,6
73,401628321,25,14,Auburn,FUMBLE,24,43,19,0,6,53,6,38,0,15
74,401628321,26,4,Alabama A&M,PUNT,21,77,56,0,6,38,2,40,3,58
75,401628321,27,14,Auburn,FUMBLE,36,80,44,0,2,40,1,28,1,12
76,401628321,28,4,Alabama A&M,END OF GAME,14,56,42,0,1,28,0,0,1,28
77,401628322,1,69,Florida,PUNT,13,75,62,0,15,0,12,27,2,33
78,401628322,2,137,Miami,TD,84,84,0,7,12,27,6,48,5,39
79,401628322,3,69,Florida,PUNT,34,75,41,0,6,48,4,24,2,24
80,401628322,4,137,Miami,INT,12,97,85,0,4,24,2,25,1,59
81,401628322,5,69,Florida,FG,10,33,23,3,2,25,0,19,2,6
82,401628322,6,137,Miami,FG,70,75,5,3,0,19,9,53,5,26
83,401628322,7,69,Florida,DOWNS,33,75,42,0,9,53,8,4,1,49
84,401628322,8,137,Miami,TD,58,58,0,7,8,4,6,41,1,23
85,401628322,9,69,Florida,PUNT,7,75,68,0,6,41,5,47,0,54
86,401628322,10,137,Miami,PUNT,9,74,65,0,5,47,3,32,2,15
87,401628322,11,69,Florida,TD,71,71,0,7,3,32,3,21,0,11
88,401628322,12,137,Miami,TD,75,75,0,7,3,21,0,45,2,36
89,401628322,13,69,Florida,END OF HALF,-8,75,83,0,0,45,0,0,0,45
90,401628322,14,137,Miami,TD,75,75,0,7,15,0,12,25,2,35
91,401628322,15,69,Florida,PUNT,7,75,68,0,12,25,9,57,2,28
92,401628322,16,137,Miami,TD,86,86,0,7,9,57,6,8,3,49
93,401628322,17,69,Florida,INT,51,75,24,0,6,8,0,24,5,44
94,401628322,18,137,Miami,MISSED FG,1,28,27,0,0,24,14,44,0,40
95,401628322,19,69,Florida,PUNT,-2,73,75,0,14,44,13,21,1,23
96,401628322,20,137,Miami,PUNT,1,76,75,0,13,21,11,17,2,4
97,401628322,21,69,Florida,TD,58,58,0,7,11,17,7,14,4,3
98,401628322,22,137,Miami,FG,37,45,8,3,7,14,4,0,3,14
99,401628322,23,69,Florida,INT,13,65,52,0,4,0,2,50,1,10
100,401628322,24,137,Miami,END OF GAME,46,58,12,0,2,50,0,0,2,50
101,401628323,1,45,Clemson,PUNT,2,75,73,0,15,0,12,59,2,1
102,401628323,2,80,Georgia,PUNT,26,67,41,0,12,59,8,56,4,3
103,401628323,3,45,Clemson,PUNT,21,95,74,0,8,56,5,34,3,22
104,401628323,4,80,Georgia,PUNT,8,66,58,0,5,34,3,27,2,7
105,401628323,5,45,Clemson,PUNT,33,85,52,0,3,27,0,15,3,12
106,401628323,6,80,Georgia,FG,68,80,12,3,0,15,8,49,6,26
107,401628323,7,45,Clemson,PUNT,9,75,66,0,8,49,6,21,2,28
108,401628323,8,80,Georgia,FG,31,68,37,3,6,21,4,16,2,5
109,401628323,9,45,Clemson,PUNT,7,75,68,0,4,16,3,13,1,3
110,401628323,10,80,Georgia,PUNT,12,69,57,0,3,13,0,1,3,12
111,401628323,11,45,Clemson,END OF HALF,-1,80,81,0,0,1,0,0,0,1
112,401628323,12,80,Georgia,TD,75,75,0,7,15,0,12,1,2,59
113,401628323,13,45,Clemson,FG,66,75,9,3,12,1,6,34,5,27
114,401628323,14,80,Georgia,TD,75,75,0,7,6,34,3,15,3,19
115,401628323,15,45,Clemson,PUNT,9,75,66,0,3,15,1,7,2,8
116,401628323,16,80,Georgia,PUNT,-1,70,71,0,1,7,0,2,1,5
117,401628323,17,45,Clemson,PUNT,-1,85,86,0,0,2,12,19,2,43
118,401628323,18,80,Georgia,TD,54,54,0,7,12,19,9,57,2,22
119,401628323,19,45,Clemson,INT,16,75,59,0,9,57,9,26,0,31
120,401628323,20,80,Georgia,TD,78,78,0,7,9,26,6,9,3,17
121,401628323,21,45,Clemson,DOWNS,62,81,19,0,6,9,1,47,4,22
122,401628323,22,80,Georgia,END OF GAME,6,81,75,0,1,47,0,0,1,47
123,401628324,1,110,Kentucky,INT,27,52,25,0,14,52,12,24,2,28
124,401628324,2,223,Southern Miss,INT,29,85,56,0,12,24,11,57,0,27
125,401628324,3,110,Kentucky,TD,59,59,0,7,11,57,6,3,5,54
126,401628324,4,223,Southern Miss,INT,75,83,8,0,5,56,13,37,7,19
127,401628324,5,110,Kentucky,PUNT,35,80,45,0,13,37,11,26,2,11
128,401628324,6,223,Southern Miss,PUNT,1,92,91,0,11,26,9,46,1,40
129,401628324,7,110,Kentucky,FG,9,32,23,3,9,46,7,45,2,1
130,401628324,8,223,Southern Miss,PUNT,-2,75,77,0,7,45,6,6,1,39
131,401628324,9,110,Kentucky,TD,75,75,0,7,6,6,3,7,2,59
132,401628324,10,223,Southern Miss,DOWNS,4,75,71,0,3,7,1,52,1,15
133,401628324,11,110,Kentucky,TD,29,29,0,7,1,52,0,31,1,21
134,401628324,12,223,Southern Miss,END OF HALF,7,67,60,0,0,26,0,0,0,26
135,401628324,13,223,Southern Miss,PUNT,28,75,47,0,15,0,12,54,2,6
136,401628324,14,110,Kentucky,TD,84,84,0,7,12,54,0,0,12,54
137,401628325,1,184,Ole Miss,TD,75,75,0,7,15,0,11,53,3,7
138,401628325,2,76,Furman,PUNT,30,75,45,0,11,53,8,43,3,10
139,401628325,3,184,Ole Miss,TD,90,90,0,7,8,43,8,7,0,36
140,401628325,4,76,Furman,INT,-1,75,76,0,8,7,7,36,0,31
141,401628325,5,184,Ole Miss,TD,46,46,0,7,7,36,4,39,2,57
142,401628325,6,76,Furman,PUNT,-3,75,78,0,4,39,2,24,2,15
143,401628325,7,184,Ole Miss,FG,20,45,25,3,2,24,0,58,1,26
144,401628325,8,76,Furman,DOWNS,38,75,37,0,0,58,14,49,1,9
145,401628325,9,184,Ole Miss,TD,63,63,0,7,14,49,11,27,3,22
146,401628325,10,76,Furman,PUNT,9,75,66,0,11,27,8,54,2,33
147,401628325,11,184,Ole Miss,TD,81,81,0,7,8,54,8,0,0,54
148,401628325,12,76,Furman,PUNT,2,75,73,0,8,0,6,27,1,33
149,401628325,13,184,Ole Miss,TD,61,61,0,7,6,27,6,18,0,9
150,401628325,14,76,Furman,PUNT,18,75,57,0,6,18,3,50,2,28
151,401628325,15,184,Ole Miss,TD,58,58,0,7,3,50,1,34,2,16
152,401628325,16,76,Furman,PUNT,-4,75,79,0,1,34,0,41,0,53
153,401628325,17,184,Ole Miss,MISSED FG,27,63,36,0,0,41,0,0,0,41
154,401628325,18,76,Furman,PUNT,-9,83,92,0,14,52,12,56,1,56
155,401628325,19,184,Ole Miss,TD,35,35,0,7,12,56,12,49,0,7
156,401628325,20,76,Furman,PUNT,8,75,67,0,12,49,10,38,2,11
157,401628325,21,184,Ole Miss,PUNT,5,84,79,0,10,38,9,55,0,43
158,401628325,22,76,Furman,DOWNS,8,50,42,0,9,55,8,38,1,17
159,401628325,23,184,Ole Miss,PUNT,1,58,57,0,8,38,7,16,1,22
160,401628325,24,76,Furman,PUNT,-11,78,89,0,7,16,5,48,1,28
161,401628325,25,184,Ole Miss,TD,52,52,0,7,5,48,4,46,1,2
162,401628325,26,76,Furman,PUNT,-1,75,76,0,4,46,3,11,1,35
163,401628325,27,184,Ole Miss,TD,73,73,0,7,3,11,0,16,2,55
164,401628325,28,76,Furman,PUNT,5,75,70,0,0,17,14,15,1,2
165,401628325,29,184,Ole Miss,FG,55,78,23,3,14,15,11,42,2,33
166,401628325,30,76,Furman,PUNT,27,75,48,0,11,43,7,18,4,25
167,401628325,31,184,Ole Miss,DOWNS,64,82,18,0,7,18,2,18,5,0
168,401628325,32,76,Furman,END OF 4TH QUARTER,21,82,61,0,2,18,0,0,2,18
169,401628326,1,144,Mississippi State,TD,75,75,0,7,15,0,14,28,0,32
170,401628326,2,64,Eastern Kentucky,PUNT,9,80,71,0,14,23,12,11,2,12
171,401628326,3,144,Mississippi State,TD,26,26,0,7,12,11,11,7,1,4
172,401628326,4,64,Eastern Kentucky,PUNT,9,80,71,0,11,2,8,59,2,3
173,401628326,5,144,Mississippi State,DOWNS,23,54,31,0,8,59,5,49,3,10
174,401628326,6,64,Eastern Kentucky,PUNT,16,69,53,0,5,49,2,11,3,38
175,401628326,7,144,Mississippi State,PUNT,9,54,45,0,2,11,0,16,1,55
176,401628326,8,64,Eastern Kentucky,PUNT,4,99,95,0,0,16,13,12,2,4
177,401628326,9,144,Mississippi State,TD,47,47,0,7,13,12,11,1,2,11
178,401628326,10,64,Eastern Kentucky,PUNT,18,83,65,0,11,1,9,5,1,56
179,401628326,11,144,Mississippi State,TD,48,48,0,7,9,5,7,10,1,55
180,401628326,12,64,Eastern Kentucky,DOWNS,29,75,46,0,7,10,3,29,3,41
181,401628326,13,144,Mississippi State,TD,54,54,0,7,3,29,3,16,0,13
182,401628326,14,64,Eastern Kentucky,TD,75,75,0,7,3,16,0,3,3,13
183,401628326,15,144,Mississippi State,END OF HALF,-5,75,80,0,0,3,0,0,0,3
184,401628326,16,64,Eastern Kentucky,DOWNS,40,75,35,0,15,0,11,37,3,23
185,401628326,17,144,Mississippi State,TD,65,65,0,7,11,37,7,42,3,55
186,401628326,18,64,Eastern Kentucky,DOWNS,42,75,33,0,7,42,2,22,5,20
187,401628326,19,144,Mississippi State,MISSED FG,60,67,7,0,2,22,14,52,2,30
188,401628326,20,64,Eastern Kentucky,PUNT,30,80,50,0,14,52,11,0,3,52
189,401628326,21,144,Mississippi State,PUNT,22,86,64,0,11,0,8,33,2,27
190,401628326,22,64,Eastern Kentucky,PUNT TD,4,88,84,-7,8,33,6,58,1,35
191,401628326,23,64,Eastern Kentucky,INT TD,18,75,57,-7,6,58,4,7,2,51
192,401628326,24,64,Eastern Kentucky,PUNT,1,75,74,0,4,7,1,59,2,8
193,401628326,25,144,Mississippi State,END OF GAME,16,78,62,0,1,59,0,0,1,59
194,401628327,1,146,Missouri,TD,42,42,0,7,14,57,12,42,2,15
195,401628327,2,153,Murray State,DOWNS,9,75,66,0,12,42,11,0,1,42
196,401628327,3,146,Missouri,TD,34,34,0,7,11,0,9,48,1,12
197,401628327,4,153,Murray State,INT TD,0,75,75,-7,9,49,9,41,0,8
198,401628327,5,153,Murray State,PUNT,12,75,63,0,9,41,5,41,4,0
199,401628327,6,146,Missouri,TD,70,70,0,7,5,41,3,38,2,3
200,401628327,7,153,Murray State,PUNT,-2,75,77,0,3,38,1,20,2,18
201,401628327,8,146,Missouri,FUMBLE,24,59,35,0,1,20,14,5,2,15
202,401628327,9,153,Murray State,PUNT,1,60,59,0,14,5,12,10,1,55
203,401628327,10,146,Missouri,PUNT,-2,80,82,0,12,10,10,42,1,28
204,401628327,11,153,Murray State,PUNT,4,70,66,0,10,42,9,42,1,0
205,401628327,12,146,Missouri,PUNT,15,70,55,0,9,42,7,32,2,10
206,401628327,13,153,Murray State,PUNT,17,90,73,0,7,32,3,3,4,29
207,401628327,14,146,Missouri,TD,68,68,0,7,3,3,0,1,3,2
208,401628327,15,153,Murray State,END OF HALF,-1,75,76,0,0,1,0,0,0,1
209,401628327,16,153,Murray State,PUNT,5,65,60,0,15,0,13,11,1,49
210,401628327,17,146,Missouri,FG,76,98,22,3,13,11,8,50,4,21
211,401628327,18,153,Murray State,FUMBLE,-15,75,90,0,8,50,7,58,0,52
212,401628327,19,146,Missouri,TD,10,10,0,7,7,58,7,9,0,49
213,401628327,20,153,Murray State,PUNT,8,75,67,0,7,9,5,38,1,31
214,401628327,21,146,Missouri,FG,76,81,5,3,5,38,13,34,7,4
215,401628327,22,153,Murray State,PUNT,28,75,47,0,13,34,8,29,5,5
216,401628327,23,146,Missouri,FG,84,93,9,3,8,29,1,57,6,32
217,401628327,24,153,Murray State,END OF GAME,14,75,61,0,1,57,0,0,1,57
218,401628328,1,236,Temple,PUNT,2,75,73,0,15,0,14,3,0,57
219,401628328,2,181,Oklahoma,TD,76,76,0,7,14,3,11,17,2,46
220,401628328,3,236,Temple,FUMBLE,11,75,64,0,11,17,9,50,1,27
221,401628328,4,181,Oklahoma,TD,43,43,0,7,9,50,8,7,1,43
