game_id,year,week,home_team_id,home,away_team_id,away,home_score,away_score
401628319,2024,1,3,Alabama,289,Western Kentucky,63,0
401628320,2024,1,10,Arkansas,12,Arkansas-Pine Bluff,70,0
401628321,2024,1,14,Auburn,4,Alabama A&M,73,3
401628322,2024,1,69,Florida,137,Miami,17,41
401628323,2024,1,80,Georgia,45,Clemson,34,3
401628324,2024,1,110,Kentucky,223,Southern Miss,31,0
401628325,2024,1,184,Ole Miss,76,Furman,76,0
401628326,2024,1,144,Mississippi State,64,Eastern Kentucky,56,7
401628327,2024,1,146,Missouri,153,Murray State,51,0
401628328,2024,1,181,Oklahoma,236,Temple,51,3
401628329,2024,1,215,South Carolina,183,Old Dominion,23,19
401628330,2024,1,237,Tennessee,42,Chattanooga,69,3
401628331,2024,1,240,Texas,49,Colorado State,52,0
401628332,2024,1,241,Texas A&M,178,Notre Dame,13,23
401628333,2024,1,271,Vanderbilt,275,Virginia Tech,34,27
401628334,2024,1,113,LSU,260,USC,20,27
401628335,2024,2,3,Alabama,219,South Florida,42,16
401628336,2024,2,182,Oklahoma State,10,Arkansas,39,31
401628337,2024,2,14,Auburn,32,California,14,21
401628338,2024,2,69,Florida,207,Samford,45,7
401628339,2024,2,80,Georgia,239,Tennessee Tech,48,0
401628340,2024,2,110,Kentucky,215,South Carolina,6,31
401628341,2024,2,113,LSU,161,Nicholls,44,21
401628342,2024,2,184,Ole Miss,141,Middle Tennessee,52,3
401628343,2024,2,9,Arizona State,144,Mississippi State,30,23
401628344,2024,2,146,Missouri,29,Buffalo,38,0
401628345,2024,2,181,Oklahoma,90,Houston,16,12
401628346,2024,2,154,NC State,237,Tennessee,10,51
401628347,2024,2,139,Michigan,240,Texas,12,31
401628348,2024,2,241,Texas A&M,132,McNeese,52,7
401628349,2024,2,271,Vanderbilt,6,Alcorn State,55,0
401628350,2024,3,294,Wisconsin,3,Alabama,10,42
401628351,2024,3,10,Arkansas,252,UAB,37,27
401628352,2024,3,14,Auburn,159,New Mexico,45,19
401628353,2024,3,69,Florida,241,Texas A&M,20,33
401628354,2024,3,110,Kentucky,80,Georgia,12,13
401628355,2024,3,279,Wake Forest,184,Ole Miss,6,40
401628356,2024,3,144,Mississippi State,246,Toledo,17,41
401628357,2024,3,146,Missouri,24,Boston College,27,21
401628358,2024,3,181,Oklahoma,249,Tulane,34,19
401628359,2024,3,215,South Carolina,113,LSU,33,36
401628360,2024,3,237,Tennessee,109,Kent State,71,0
401628361,2024,3,240,Texas,263,UTSA,56,7
401628362,2024,3,82,Georgia State,271,Vanderbilt,36,32
401628363,2024,4,14,Auburn,10,Arkansas,14,24
401628364,2024,4,110,Kentucky,179,Ohio,41,6
401628365,2024,4,113,LSU,256,UCLA,34,17
401628366,2024,4,184,Ole Miss,81,Georgia Southern,52,13
401628367,2024,4,144,Mississippi State,69,Florida,28,45
401628368,2024,4,146,Missouri,271,Vanderbilt,30,27
401628369,2024,4,181,Oklahoma,237,Tennessee,15,25
401628370,2024,4,215,South Carolina,2,Akron,50,7
401628371,2024,4,240,Texas,258,UL Monroe,51,3
401628372,2024,4,241,Texas A&M,25,Bowling Green,26,20
401628373,2024,5,241,Texas A&M,10,Arkansas,21,17
401628374,2024,5,3,Alabama,80,Georgia,7,0
401628375,2024,5,14,Auburn,181,Oklahoma,21,27
401628376,2024,5,113,LSU,214,South Alabama,42,10
401628377,2024,5,184,Ole Miss,110,Kentucky,17,20
401628378,2024,5,240,Texas,144,Mississippi State,35,13
401628379,2024,6,10,Arkansas,237,Tennessee,19,14
401628380,2024,6,69,Florida,255,UCF,24,13
401628381,2024,6,80,Georgia,14,Auburn,31,13
401628382,2024,6,215,South Carolina,184,Ole Miss,3,27
401628383,2024,6,241,Texas A&M,146,Missouri,41,10
401628384,2024,6,271,Vanderbilt,3,Alabama,40,35
401628385,2024,7,3,Alabama,215,South Carolina,27,25
401628386,2024,7,80,Georgia,144,Mississippi State,41,31
401628387,2024,7,110,Kentucky,271,Vanderbilt,13,20
401628388,2024,7,113,LSU,184,Ole Miss,29,26
401628389,2024,7,130,Massachusetts,146,Missouri,3,45
401628390,2024,7,181,Oklahoma,240,Texas,3,34
401628391,2024,7,237,Tennessee,69,Florida,23,17
401628392,2024,8,10,Arkansas,113,LSU,10,34
401628393,2024,8,69,Florida,110,Kentucky,48,20
401628394,2024,8,144,Mississippi State,241,Texas A&M,24,34
401628395,2024,8,146,Missouri,14,Auburn,21,17
401628396,2024,8,181,Oklahoma,215,South Carolina,9,35
401628397,2024,8,237,Tennessee,3,Alabama,24,17
401628398,2024,8,240,Texas,80,Georgia,15,30
401628399,2024,8,271,Vanderbilt,19,Ball State,24,14
401628400,2024,9,3,Alabama,146,Missouri,34,0
401628401,2024,9,110,Kentucky,14,Auburn,10,24
401628402,2024,9,184,Ole Miss,181,Oklahoma,26,14
401628403,2024,9,144,Mississippi State,10,Arkansas,25,58
401628404,2024,9,241,Texas A&M,113,LSU,38,23
401628405,2024,9,271,Vanderbilt,240,Texas,24,27
401628406,2024,10,10,Arkansas,184,Ole Miss,31,63
401628407,2024,10,14,Auburn,271,Vanderbilt,7,17
401628408,2024,10,80,Georgia,69,Florida,34,20
401628409,2024,10,144,Mississippi State,130,Massachusetts,45,20
401628410,2024,10,181,Oklahoma,126,Maine,59,14
401628411,2024,10,215,South Carolina,241,Texas A&M,44,20
401628412,2024,10,237,Tennessee,110,Kentucky,28,18
401628413,2024,11,113,LSU,3,Alabama,13,42
401628414,2024,11,184,Ole Miss,80,Georgia,28,10
401628415,2024,11,146,Missouri,181,Oklahoma,30,23
401628416,2024,11,237,Tennessee,144,Mississippi State,33,14
401628417,2024,11,240,Texas,69,Florida,49,17
401628418,2024,11,271,Vanderbilt,215,South Carolina,7,28
401628419,2024,12,10,Arkansas,240,Texas,10,20
401628420,2024,12,69,Florida,113,LSU,27,16
401628421,2024,12,80,Georgia,237,Tennessee,31,17
401628422,2024,12,110,Kentucky,153,Murray State,48,6
401628423,2024,12,215,South Carolina,146,Missouri,34,30
401628424,2024,12,241,Texas A&M,160,New Mexico State,38,3
401628425,2024,12,3,Alabama,134,Mercer,52,7
401628426,2024,12,14,Auburn,258,UL Monroe,48,14
401628427,2024,13,10,Arkansas,124,Louisiana Tech,35,14
401628428,2024,13,14,Auburn,241,Texas A&M,43,41
401628429,2024,13,69,Florida,184,Ole Miss,24,17
401628430,2024,13,80,Georgia,130,Massachusetts,59,21
401628431,2024,13,113,LSU,271,Vanderbilt,24,17
401628432,2024,13,144,Mississippi State,146,Missouri,20,39
401628433,2024,13,181,Oklahoma,3,Alabama,24,3
401628434,2024,13,215,South Carolina,295,Wofford,56,12
401628435,2024,13,237,Tennessee,262,UTEP,56,0
401628436,2024,13,240,Texas,110,Kentucky,31,14
401628437,2024,14,3,Alabama,14,Auburn,28,14
401628438,2024,14,73,Florida State,69,Florida,11,31
401628439,2024,14,80,Georgia,83,Georgia Tech,44,42
401628440,2024,14,110,Kentucky,125,Louisville,14,41
401628441,2024,14,113,LSU,181,Oklahoma,37,17
401628442,2024,14,184,Ole Miss,144,Mississippi State,26,14
401628443,2024,14,146,Missouri,10,Arkansas,28,21
401628444,2024,14,45,Clemson,215,South Carolina,14,17
401628445,2024,14,241,Texas A&M,240,Texas,7,17
401628446,2024,14,271,Vanderbilt,237,Tennessee,23,36
401628448,2024,1,143,Minnesota,164,North Carolina,17,19
401628449,2024,1,98,Indiana,72,Florida International,31,7
401628450,2024,1,101,Iowa,96,Illinois State,40,0
401628451,2024,1,129,Maryland,257,UConn,50,7
401628452,2024,1,139,Michigan,75,Fresno State,23,10
401628453,2024,1,140,Michigan State,71,Florida Atlantic,16,10
401628454,2024,1,156,Nebraska,262,UTEP,40,7
401628455,2024,1,180,Ohio State,2,Akron,52,6
401628456,2024,1,185,Oregon,93,Idaho,24,14
401628457,2024,1,285,West Virginia,187,Penn State,12,34
401628458,2024,1,201,Rutgers,92,Howard,38,7
401628459,2024,1,88,Hawai'i,256,UCLA,13,16
401628460,2024,1,281,Washington,283,Weber State,35,3
401628461,2024,1,294,Wisconsin,290,Western Michigan,28,14
401628462,2024,2,95,Illinois,106,Kansas,23,17
401628463,2024,2,98,Indiana,288,Western Illinois,77,3
401628464,2024,2,101,Iowa,102,Iowa State,19,20
401628465,2024,2,129,Maryland,140,Michigan State,24,27
401628466,2024,2,143,Minnesota,196,Rhode Island,48,0
401628467,2024,2,156,Nebraska,48,Colorado,28,10
401628468,2024,2,180,Ohio State,290,Western Michigan,57,0
401628469,2024,2,185,Oregon,23,Boise State,37,34
401628470,2024,2,187,Penn State,25,Bowling Green,34,27
401628471,2024,2,201,Rutgers,2,Akron,49,17
401628472,2024,2,260,USC,267,Utah State,48,0
401628473,2024,2,281,Washington,65,Eastern Michigan,30,9
401628474,2024,2,294,Wisconsin,217,South Dakota,27,13
401628475,2024,3,95,Illinois,37,Central Michigan,30,9
401628476,2024,3,256,UCLA,98,Indiana,13,42
401628477,2024,3,101,Iowa,248,Troy,38,21
401628478,2024,3,273,Virginia,129,Maryland,13,27
401628479,2024,3,139,Michigan,11,Arkansas State,28,18
401628480,2024,3,140,Michigan State,192,Prairie View A&M,40,0
401628481,2024,3,143,Minnesota,157,Nevada,27,0
401628482,2024,3,156,Nebraska,174,Northern Iowa,34,3
401628483,2024,3,186,Oregon State,185,Oregon,14,49
401628484,2024,3,281,Washington,282,Washington State,19,24
401628485,2024,4,156,Nebraska,95,Illinois,24,31
401628486,2024,4,98,Indiana,41,Charlotte,52,14
401628487,2024,4,143,Minnesota,101,Iowa,14,31
401628488,2024,4,129,Maryland,272,Villanova,38,20
401628489,2024,4,139,Michigan,260,USC,27,24
401628490,2024,4,24,Boston College,140,Michigan State,23,19
401628491,2024,4,281,Washington,176,Northwestern,24,5
401628492,2024,4,180,Ohio State,128,Marshall,49,14
401628493,2024,4,187,Penn State,109,Kent State,56,0
401628494,2024,4,275,Virginia Tech,201,Rutgers,23,26
401628495,2024,5,187,Penn State,95,Illinois,21,7
401628496,2024,5,98,Indiana,129,Maryland,42,28
401628497,2024,5,139,Michigan,143,Minnesota,27,24
401628498,2024,5,140,Michigan State,180,Ohio State,7,38
401628499,2024,5,195,Purdue,156,Nebraska,10,28
401628500,2024,5,256,UCLA,185,Oregon,13,34
401628501,2024,5,201,Rutgers,281,Washington,21,18
401628502,2024,5,260,USC,294,Wisconsin,38,21
401628503,2024,6,176,Northwestern,98,Indiana,24,41
401628504,2024,6,180,Ohio State,101,Iowa,35,7
401628505,2024,6,281,Washington,139,Michigan,27,17
401628506,2024,6,185,Oregon,140,Michigan State,31,10
401628507,2024,6,143,Minnesota,260,USC,24,17
401628508,2024,6,156,Nebraska,201,Rutgers,14,0
401628509,2024,6,294,Wisconsin,195,Purdue,52,6
401628510,2024,6,187,Penn State,256,UCLA,27,11
401628511,2024,7,95,Illinois,195,Purdue,50,49
401628512,2024,7,101,Iowa,281,Washington,40,16
401628513,2024,7,129,Maryland,176,Northwestern,10,37
