team_id,team_name,grades_offense,grades_pass_block,grades_run_block,hits_allowed,hurries_allowed,penalties,pressures_allowed,sacks_allowed
1,AIR FORCE,61.87017543859649,53.18333333333333,61.08421052631579,18,38,23,70,14
2,AKRON,57.94615384615385,53.310526315789474,56.22564102564103,14,98,46,129,17
3,ALABAMA,62.89272727272727,59.32608695652174,58.620370370370374,17,79,48,110,14
7,APP STATE,62.41875,60.550000000000004,59.609375,13,96,35,118,9
8,ARIZONA,61.06153846153846,62.103846153846156,59.111111111111114,23,70,38,114,21
9,ARIZONA ST,61.665909090909096,69.38148148148149,57.02162162162163,15,81,51,103,7
11,ARK STATE,63.48823529411764,57.34444444444445,61.69411764705882,15,102,31,137,20
10,ARKANSAS,65.27735849056603,61.147619047619045,60.888679245283015,16,98,56,137,23
13,ARMY,69.04285714285714,61.524324324324326,66.18679245283019,11,23,42,37,3
14,AUBURN,62.793749999999996,67.79642857142856,60.91489361702128,6,71,33,98,21
19,BALL ST,61.34166666666667,58.225,57.391666666666666,20,68,23,109,21
20,BAYLOR,63.949999999999996,63.52272727272727,60.52368421052632,7,68,35,85,10
23,BOISE ST,63.75,62.05714285714286,60.51521739130435,6,86,60,101,9
24,BOSTON COL,64.72564102564102,59.004999999999995,62.158974358974355,16,80,24,108,12
25,BOWL GREEN,60.57272727272727,61.667857142857144,58.73863636363637,14,69,48,104,21
29,BUFFALO,60.90487804878049,68.3952380952381,60.21951219512195,19,66,23,97,12
18,BYU,61.81020408163265,57.976190476190474,60.446938775510205,24,61,38,95,10
37,C MICHIGAN,58.1,57.18214285714286,57.103125,30,68,44,112,14
32,CAL,61.30810810810811,62.88947368421053,59.01081081081081,16,80,60,130,34
41,CHARLOTTE,61.59736842105263,61.25217391304348,59.34166666666667,9,75,35,97,13
43,CINCINNATI,63.854285714285716,58.87619047619048,60.57647058823529,11,59,39,80,10
45,CLEMSON,62.175862068965515,64.21666666666667,59.320689655172416,22,100,35,138,16
46,COAST CAR,61.18666666666667,60.13,58.47380952380953,12,78,50,96,6
49,COLO STATE,64.2439024390244,65.9,60.1725,5,60,56,70,5
48,COLORADO,63.43055555555556,62.595000000000006,58.99722222222223,21,106,65,147,20
183,DOMINION,58.14848484848485,45.144444444444446,57.878787878787875,17,106,40,152,29
58,DUKE,61.18000000000001,63.60476190476191,58.01428571428571,9,68,26,85,8
60,E CAROLINA,64.22702702702703,67.18260869565218,61.98918918918919,21,60,46,94,13
65,E MICHIGAN,61.402040816326526,63.27714285714285,60.06046511627907,23,85,32,124,16
71,FAU,63.527906976744184,61.67368421052631,61.60930232558139,18,101,33,133,14
72,FIU,60.63076923076923,60.84583333333333,59.815384615384616,18,60,42,89,11
69,FLORIDA,66.39583333333333,68.46190476190476,62.80416666666667,8,68,47,85,9
73,FLORIDA ST,60.63962264150943,59.723333333333336,57.901886792452835,25,94,44,144,25
75,FRESNO ST,63.28048780487805,60.76363636363636,61.15121951219512,20,70,27,107,17
81,GA SOUTHRN,62.983783783783785,68.73157894736842,57.67567567567568,14,78,40,107,15
82,GA STATE,60.29111111111111,59.86666666666667,57.50222222222222,24,95,48,130,11
83,GA TECH,64.83333333333333,60.472727272727276,59.023809523809526,16,53,39,73,4
80,GEORGIA,64.3,63.36176470588236,60.214285714285715,19,71,61,102,12
88,HAWAII,61.52272727272727,58.87142857142857,59.209090909090904,26,109,62,155,20
