team_id,team_name,contested_receptions,contested_targets,grades_offense,grades_pass_route,receptions,routes,yards,yards_after_catch
1,AIR FORCE,11,17,62.631249999999994,59.66875,62,626,1072,395
2,AKRON,17,47,60.57333333333334,60.67333333333333,234,2215,2790,1496
3,ALABAMA,25,49,64.0047619047619,60.81428571428571,226,1878,3063,1498
7,APP STATE,44,93,63.06875,59.61875,218,1925,2999,1071
8,ARIZONA,31,67,63.30625,59.6,262,2206,2972,1532
9,ARIZONA ST,24,47,65.17647058823529,64.77058823529411,233,2133,3148,1845
11,ARK STATE,36,85,65.18823529411765,62.247058823529414,275,2485,2959,1350
10,ARKANSAS,34,73,67.32272727272726,64.64090909090909,255,2315,3549,1493
13,ARMY,8,21,69.79411764705883,62.76470588235294,66,473,1123,335
14,AUBURN,25,62,63.69411764705882,61.74117647058823,230,1991,3167,1471
19,BALL ST,50,90,64.37142857142857,62.55714285714286,281,2224,2975,1680
20,BAYLOR,33,66,68.22,65.82666666666667,250,2065,3384,1649
23,BOISE ST,36,74,67.46111111111111,65.20555555555556,261,2006,3155,1350
24,BOSTON COL,30,50,64.36875,59.706250000000004,207,1878,2592,1120
25,BOWL GREEN,29,57,60.86666666666667,56.519999999999996,277,2046,3145,1743
29,BUFFALO,32,59,61.99444444444445,61.46666666666667,194,1750,2417,1129
18,BYU,31,56,62.12105263157895,58.636842105263156,217,1822,3004,1175
37,C MICHIGAN,20,47,61.46875,59.68125,167,1617,1961,839
32,CAL,45,82,62.29,60.635000000000005,302,2512,3353,1500
41,CHARLOTTE,33,51,63.099999999999994,60.34285714285714,179,1880,2709,896
43,CINCINNATI,32,66,65.5,66.25,251,1927,2838,1310
45,CLEMSON,47,103,62.33043478260869,60.24347826086956,331,2769,3902,1619
46,COAST CAR,29,67,63.65882352941177,58.4,195,1805,2619,1188
49,COLO STATE,30,63,64.25714285714287,61.68095238095238,235,1944,2808,1404
48,COLORADO,40,70,65.1,62.41875,353,2698,4133,2174
183,DOMINION,32,57,64.39999999999999,57.43333333333333,196,1895,2323,1079
58,DUKE,48,96,59.43333333333333,58.84,281,2146,3170,1630
60,E CAROLINA,27,62,66.45,60.58125,258,2156,3415,1360
65,E MICHIGAN,25,68,61.82777777777777,61.03888888888889,250,2166,2841,1299
71,FAU,14,34,65.23157894736842,62.03684210526316,204,1928,2505,1416
72,FIU,33,63,66.6,64.7,206,1569,2754,1118
69,FLORIDA,35,58,66.36111111111111,63.522222222222226,208,1747,2934,1396
73,FLORIDA ST,28,55,60.290476190476184,57.84761904761905,178,2003,2154,1011
75,FRESNO ST,32,65,62.895,61.33,300,2203,3157,1598
81,GA SOUTHRN,43,74,62.311764705882354,60.22941176470588,288,2446,3099,1566
82,GA STATE,38,70,64.06666666666666,61.78333333333333,273,2300,3085,1667
83,GA TECH,20,43,64.675,63.77,269,2059,3078,1764
80,GEORGIA,29,83,65.34,64.425,336,2677,3915,2239
88,HAWAII,22,67,60.638888888888886,61.02777777777778,285,2501,3214,1334
90,HOUSTON,13,33,60.370588235294115,60.7764705882353,181,1572,1819,1143
95,ILLINOIS,28,56,67.74117647058823,64.16875,213,1766,2754,1150
98,INDIANA,38,73,70.275,67.36875,246,1848,3397,1528
101,IOWA,19,33,60.55499999999999,57.705,163,1419,1712,965
102,IOWA STATE,43,80,63.268421052631574,59.96315789473684,278,2495,3585,1424
105,JAMES MAD,19,38,66.08,62.06666666666667,232,2053,2802,1308
104,JVILLE ST,20,44,65.49411764705883,60.582352941176474,188,1668,2642,1342
106,KANSAS,11,32,63.666666666666664,59.44666666666667,176,1542,2505,1095
107,KANSAS ST,18,40,63.94666666666667,59.806666666666665,220,1989,2739,1296
108,KENNESAW,19,35,59.16470588235294,54.970588235294116,157,1528,1636,944
109,KENT STATE,21,42,58.99285714285714,57.357142857142854,138,1491,1881,746
110,KENTUCKY,23,47,64.27142857142857,59.792857142857144,168,1595,2219,868
123,LA LAFAYET,26,61,65.14500000000001,63.4,267,2163,3479,1644
258,LA MONROE,22,45,62.225,60.46666666666667,133,1173,1611,813
124,LA TECH,23,50,61.83125,58.225,257,2174,2898,1533
118,LIBERTY,22,50,63.72666666666667,58.306666666666665,156,1510,2003,730
125,LOUISVILLE,42,77,69.36842105263158,65.67368421052632,270,2147,3429,1651
113,LSU,32,86,65.59375,65.14375,343,2584,4088,2133
128,MARSHALL,22,57,65.32307692307693,59.84615384615385,195,1779,2359,1159
129,MARYLAND,29,65,61.42777777777778,61.53888888888889,315,2578,3313,1779
133,MEMPHIS,33,76,66.7764705882353,62.35294117647059,311,2477,3519,1707
137,MIAMI FL,28,57,72.05555555555556,65.57777777777778,328,2552,4527,2359
138,MIAMI OH,25,64,64.05555555555556,62.13333333333334,224,1927,3039,1402
140,MICH STATE,27,48,61.60588235294117,62.56470588235294,212,1831,2617,1106
139,MICHIGAN,15,37,64.16111111111111,59.31666666666667,191,1577,1675,885
141,MIDDLE TN,34,61,59.1,58.54,274,2254,3122,1568
143,MINNESOTA,45,76,66.07222222222222,61.28888888888889,273,2115,2861,1240
144,MISS STATE,35,67,61.094117647058816,57.07058823529412,215,2104,2870,1180
146,MISSOURI,25,45,63.89444444444444,59.138888888888886,250,2076,2931,1482
164,N CAROLINA,31,62,64.19444444444444,62.416666666666664,230,2165,2915,1609
173,N ILLINOIS,25,60,62.32631578947369,59.973684210526315,216,1966,2326,1118
170,N TEXAS,25,61,62.38095238095238,60.89523809523809,354,2872,4285,2371
155,NAVY,14,31,67.43333333333334,62.53333333333333,99,860,1609,829
154,NC STATE,33,52,65.78666666666666,61.406666666666666,255,2048,3024,1394
156,NEBRASKA,32,69,65.80526315789473,63.531578947368416,287,2209,2966,1601
157,NEVADA,32,66,63.589999999999996,62.27,247,1972,2758,1192
160,NEW MEX ST,20,52,58.61666666666666,57.93333333333333,143,1751,1738,856
159,NEW MEXICO,35,71,66.35454545454546,60.03636363636363,225,1734,2761,769
178,NOTRE DAME,42,64,66.63181818181819,65.31818181818181,296,2377,3160,1631
176,NWESTERN,32,74,58.80625,59.25,210,2082,2228,934
179,OHIO,28,62,62.449999999999996,60.357142857142854,217,1923,2694,1163
