team_id,team_name,attempts,avoided_tackles,breakaway_yards,first_downs,fumbles,grades_offense,grades_pass_block,grades_run,rec_yards,receptions,routes,scramble_yards,targets,touchdowns,yards,yards_after_contact
1,AIR FORCE,655,85,574,176,16,61.9625,60.61,62.9625,525,34,342,114,59,24,2799,1530
2,AKRON,315,45,400,82,15,65.04285714285713,40.53333333333333,66.32857142857144,917,91,757,153,133,11,1428,798
3,ALABAMA,461,87,935,144,13,69.35,58.43333333333334,71.07142857142857,2097,150,1201,229,227,41,2448,1379
7,APP STATE,372,81,472,115,8,68.85555555555555,40.0,71.60000000000001,1872,136,1020,219,211,13,1882,1287
8,ARIZONA,306,80,592,80,8,60.57857142857143,52.5,63.98571428571428,1056,133,1139,179,181,11,1482,1084
9,ARIZONA ST,571,174,857,177,7,68.85333333333332,58.25999999999999,66.61999999999999,2285,167,1190,458,240,30,2944,2051
11,ARK STATE,451,91,695,121,9,67.43333333333334,47.2,66.93333333333334,392,62,457,314,77,18,2295,1587
10,ARKANSAS,453,129,757,167,23,71.98181818181818,49.275,70.55454545454546,995,86,890,484,121,34,2685,1700
13,ARMY,758,118,1455,257,10,68.75625,50.233333333333334,68.76875,470,34,246,33,58,48,4225,2203
14,AUBURN,373,91,765,114,10,62.26666666666667,67.7,62.99166666666667,767,75,543,270,97,13,2150,1240
19,BALL ST,339,44,403,88,13,63.67272727272727,58.85,62.654545454545456,2065,211,1477,84,295,10,1465,1016
20,BAYLOR,473,86,883,129,10,67.76363636363637,54.64,65.37272727272727,1421,111,863,203,165,25,2562,1642
23,BOISE ST,541,195,1638,173,7,72.23333333333333,57.333333333333336,70.86363636363636,304,43,372,226,57,43,3439,2533
24,BOSTON COL,496,73,626,128,19,68.60000000000001,27.95,67.88333333333334,1123,106,815,303,144,24,2333,1509
25,BOWL GREEN,393,115,808,109,12,68.75,51.7,68.05,2873,247,1496,61,342,20,1979,1310
29,BUFFALO,511,95,678,130,12,65.34545454545456,64.44,66.11818181818181,1067,94,569,149,131,24,2309,1488
18,BYU,440,100,457,134,12,69.56428571428572,41.56666666666666,67.83846153846153,2420,165,1260,247,256,20,2193,1440
37,C MICHIGAN,418,89,875,119,14,62.93636363636363,63.88333333333333,65.80909090909091,837,69,594,172,106,16,2177,1393
32,CAL,394,56,689,103,7,62.93076923076923,42.425,65.08461538461539,1710,159,1366,337,228,17,1877,997
41,CHARLOTTE,350,91,565,86,13,63.26923076923077,53.050000000000004,65.99166666666666,1455,78,811,188,127,16,1678,1073
43,CINCINNATI,407,116,986,118,10,66.58888888888889,38.519999999999996,66.92222222222222,873,89,661,194,113,19,2307,1568
45,CLEMSON,444,69,894,146,12,66.70555555555556,59.25,68.54705882352941,1760,168,1448,276,236,23,2585,1463
46,COAST CAR,470,100,818,123,13,65.575,63.800000000000004,67.2625,1461,115,974,125,188,21,2345,1478
49,COLO STATE,453,88,875,116,12,66.3375,57.82857142857143,64.2125,1622,119,976,142,185,20,2308,1390
48,COLORADO,296,57,216,76,10,67.45,59.1,65.86363636363636,3207,280,1932,301,349,15,1224,880
183,DOMINION,441,92,1008,130,16,67.73333333333333,44.86,72.97777777777777,1103,97,764,387,154,27,2706,1496
58,DUKE,367,66,417,69,5,64.67777777777778,56.02,62.68888888888888,692,74,538,21,94,13,1301,933
60,E CAROLINA,445,85,882,123,13,70.32727272727273,62.083333333333336,69.60909090909091,1508,140,1082,164,194,23,2404,1467
65,E MICHIGAN,441,60,517,116,9,65.97272727272727,60.6375,64.01818181818182,1879,177,1443,151,255,17,1908,1158
71,FAU,427,113,1051,113,9,68.26,54.449999999999996,67.92,1198,94,570,336,123,24,2473,1541
72,FIU,382,76,346,86,21,67.74285714285715,66.81428571428572,64.8923076923077,2382,176,1267,159,272,15,1527,1099
69,FLORIDA,440,95,588,126,9,66.32666666666667,58.67999999999999,63.78,608,60,561,165,91,24,2230,1360
73,FLORIDA ST,329,61,306,70,15,64.16666666666667,48.75,64.46,1389,114,1155,252,183,8,1384,1089
75,FRESNO ST,353,66,382,89,8,66.63636363636364,50.120000000000005,63.972727272727276,2610,237,1549,54,314,21,1476,1035
81,GA SOUTHRN,419,79,515,125,19,66.875,61.34285714285714,64.375,2328,218,1636,257,323,24,1813,1234
82,GA STATE,337,64,742,89,7,66.46923076923078,63.925000000000004,67.13076923076923,1366,149,1069,156,201,13,1788,1203
83,GA TECH,479,81,985,143,14,69.44,52.542857142857144,65.49333333333333,2195,199,1200,179,278,29,2450,1429
