id_play,game_id,game_play_number,drive_id,half,period,clock_minutes,clock_seconds,time_secs_rem,pos_team,pos_team_id,def_pos_team,def_pos_team_id,play_type,play_text,pass,pass_attempt,completion,rush,yards_gained,down,distance,yards_to_goal,epa,def_epa,wpa,ep_before,ep_after,wp_before,wp_after,sack,int,penalty_detail,yds_penalty,firstd_by_penalty,firstd_by_yards,success,turnover,turnover_downs,score_pts,scoring_play,defense_score_play,change_of_poss,off_timeout,off_timeouts_rem_before,def_timeout,def_timeouts_rem_before
271610,401673462,1,37083,1,1,14,55,1795,Tulane,249,Army,13,Kickoff Return (Offense),"Trey Gronotte kickoff for 59 yds , Rayshawn Pleasant return for 18 yds to the TULN 24",0,0,0,0,18,1,10,65,-0.08914641,0.08914641,-0.0011353,0.835848089,0.746701679,0.4919244,0.4907891,0,0,,,0,0,1,0,0,0,0,0,1,0,3,0,3
271611,401673462,2,37083,1,1,14,47,1787,Tulane,249,Army,13,Rush,Makhi Hughes run for 4 yds to the TULN 28,0,0,0,1,4,1,10,76,-0.152486115,0.152486115,0.0028654,0.746701679,0.594215564,0.4907891,0.4936544,0,0,,,0,0,0,0,0,0,0,0,0,0,3,0,3
271612,401673462,3,37083,1,1,14,17,1757,Tulane,249,Army,13,Rush,Makhi Hughes run for 9 yds to the TULN 37 for a 1ST down,0,0,0,1,9,2,6,72,1.3540804,-1.3540804,0.0638369,0.594215564,1.948295964,0.4936544,0.5574913,0,0,,,0,0,1,0,0,0,0,0,0,0,3,0,3
271613,401673462,4,37083,1,1,13,39,1719,Tulane,249,Army,13,Rush,Makhi Hughes run for 6 yds to the TULN 43,0,0,0,1,6,1,10,63,0.312457178,-0.312457178,0.0211636,1.948295964,2.260753141,0.5574913,0.5786549,0,0,,,0,1,1,0,0,0,0,0,0,0,3,0,3
271614,401673462,5,37083,1,1,12,59,1679,Tulane,249,Army,13,Pass Reception,Darian Mensah pass complete to Mario Williams for 30 yds to the ARMY 27 for a 1ST down,1,1,1,0,30,2,4,57,2.022298667,-2.022298667,0.0789608,2.260753141,4.283051808,0.5786549,0.6576157,0,0,,,0,0,1,0,0,0,0,0,0,0,3,0,3
271615,401673462,5,37083,1,1,12,21,1641,Tulane,249,Army,13,Penalty,"(12:27) PENALTY TUL False Start (Brown,Yulkeith) 5 yards from ARMY27 to ARMY32. NO PLAY.",0,0,0,0,-5,1,10,27,-0.220144048,0.220144048,-0.0150528,4.283051808,4.06290776,0.6576157,0.6425629,0,0,False Start,-5,0,1,0,0,0,0,0,0,0,0,3,0,3
271616,401673462,6,37083,1,1,11,57,1617,Tulane,249,Army,13,Rush,Yulkeith Brown run for 2 yds to the ARMY 30,0,0,0,1,2,1,15,32,-0.404273025,0.404273025,-0.013947,3.794319423,3.390046398,0.6425629,0.628616,0,0,,,0,0,0,0,0,0,0,0,0,0,3,0,3
271617,401673462,7,37083,1,1,11,16,1576,Tulane,249,Army,13,Pass Incompletion,Darian Mensah pass incomplete to Dontae Fleming,1,1,0,0,0,2,13,30,-0.938446991,0.938446991,-0.0352107,3.390046398,2.451599407,0.628616,0.5934053,0,0,,,0,0,0,0,0,0,0,0,0,0,3,0,3
271618,401673462,8,37083,1,1,11,1,1561,Tulane,249,Army,13,Pass Reception,Darian Mensah pass complete to Mario Williams for 11 yds to the ARMY 19,1,1,1,0,11,3,13,30,-0.339198959,0.339198959,-0.0159472,2.451599407,2.112400448,0.5934053,0.577458,0,0,,,0,0,0,0,0,0,0,0,0,0,3,0,3
271619,401673462,9,37083,1,1,10,24,1524,Tulane,249,Army,13,Fumble Recovery (Opponent),"Brice Busch run for a loss of 9 yards to the ARMY 28 Brice Busch fumbled, recovered by TULN Brice Busch",0,0,0,1,-9,4,2,19,-3.370725792,3.370725792,-0.1208787,2.112400448,-1.258325344,0.577458,0.4565793,0,0,,,0,0,0,1,0,0,0,0,1,0,3,0,3
