team_id,team_name,pff_name,conference,city,state
0,Abilene Christian,,non-FBS,,
1,Air Force,AIR FORCE,Mountain West,Colorado Springs,CO
2,Akron,AKRON,MAC,Akron,OH
3,Alabama,ALABAMA,SEC,Tuscaloosa,AL
4,Alabama A&M,,non-FBS,,
5,Alabama State,,non-FBS,,
6,Alcorn State,,non-FBS,,
7,App State,APP STATE,Sun Belt,Boone,NC
8,Arizona,ARIZONA,Big 12,Tucson,AZ
9,Arizona State,ARIZONA ST,Big 12,Tempe,AZ
10,Arkansas,ARKANSAS,SEC,Fayetteville,AR
11,Arkansas State,ARK STATE,Sun Belt,Jonesboro,AR
12,Arkansas-Pine Bluff,,non-FBS,,
13,Army,ARMY,American,West Point,NY
14,Auburn,AUBURN,SEC,Auburn,AL
15,Augustana University (SD),,non-FBS,,
16,Austin Peay,,non-FBS,,
17,Ave Maria University,,non-FBS,,
18,BYU,BYU,Big 12,Provo,UT
19,Ball State,BALL ST,MAC,Muncie,IN
20,Baylor,BAYLOR,Big 12,Waco,TX
21,Bethune-Cookman,,non-FBS,,
22,Black Hills State,,non-FBS,,
23,Boise State,BOISE ST,Mountain West,Boise,ID
24,Boston College,BOSTON COL,ACC,Chestnut Hill,MA
25,Bowling Green,BOWL GREEN,MAC,Bowling Green,OH
26,Brown,,non-FBS,,
27,Bryant,,non-FBS,,
28,Bucknell,,non-FBS,,
29,Buffalo,BUFFALO,MAC,Buffalo,NY
30,Butler,,non-FBS,,
31,Cal Poly,,non-FBS,,
32,California,CAL,ACC,Berkeley,CA
33,Campbell,,non-FBS,,
34,Catawba,,non-FBS,,
35,Central Arkansas,,non-FBS,,
36,Central Connecticut,,non-FBS,,
37,Central Michigan,C MICHIGAN,MAC,Mount Pleasant,MI
38,Central State (OH),,non-FBS,,
39,Central Washington,,non-FBS,,
40,Charleston Southern,,non-FBS,,
41,Charlotte,CHARLOTTE,American,Charlotte,NC
42,Chattanooga,,non-FBS,,
43,Cincinnati,CINCINNATI,Big 12,Cincinnati,OH
44,Clark Atlanta,,non-FBS,,
45,Clemson,CLEMSON,ACC,Clemson,SC
46,Coastal Carolina,COAST CAR,Sun Belt,Conway,SC
47,Colgate,,non-FBS,,
48,Colorado,COLORADO,Big 12,Boulder,CO
49,Colorado State,COLO STATE,Mountain West,Fort Collins,CO
50,Columbia,,non-FBS,,
51,Cornell,,non-FBS,,
52,Dartmouth,,non-FBS,,
53,Davidson,,non-FBS,,
54,Dayton,,non-FBS,,
55,Delaware,,non-FBS,,
56,Delaware State,,non-FBS,,
57,Drake,,non-FBS,,
58,Duke,DUKE,ACC,Durham,NC
59,Duquesne,,non-FBS,,
60,East Carolina,E CAROLINA,American,Greenville,NC
61,East Tennessee State,,non-FBS,,
62,East Texas A&M,,non-FBS,,
63,Eastern Illinois,,non-FBS,,
64,Eastern Kentucky,,non-FBS,,
65,Eastern Michigan,E MICHIGAN,MAC,Ypsilanti,MI
66,Eastern Washington,,non-FBS,,
67,Edinboro University,,non-FBS,,
68,Elon,,non-FBS,,
69,Florida,FLORIDA,SEC,Gainesville,FL
70,Florida A&M,,non-FBS,,
71,Florida Atlantic,FAU,American,Boca Raton,FL
72,Florida International,FIU,C-USA,Miami,FL
73,Florida State,FLORIDA ST,ACC,Tallahassee,FL
74,Fordham,,non-FBS,,
75,Fresno State,FRESNO ST,Mountain West,Fresno,CA
76,Furman,,non-FBS,,
77,Gardner-Webb,,non-FBS,,
78,Georgetown,,non-FBS,,
79,Georgetown College Kentucky,,non-FBS,,
80,Georgia,GEORGIA,SEC,Athens,GA
81,Georgia Southern,GA SOUTHRN,Sun Belt,Statesboro,GA
82,Georgia State,GA STATE,Sun Belt,Atlanta,GA
83,Georgia Tech,GA TECH,ACC,Atlanta,GA
84,Grambling,,non-FBS,,
85,Hampton,,non-FBS,,
86,Hanover College,,non-FBS,,
87,Harvard,,non-FBS,,
88,Hawai'i,HAWAII,Mountain West,Honolulu,HI
89,Holy Cross,,non-FBS,,
90,Houston,HOUSTON,Big 12,Houston,TX
91,Houston Christian,,non-FBS,,
92,Howard,,non-FBS,,
93,Idaho,,non-FBS,,
94,Idaho State,,non-FBS,,
95,Illinois,ILLINOIS,Big Ten,Champaign,IL
96,Illinois State,,non-FBS,,
97,Incarnate Word,,non-FBS,,
98,Indiana,INDIANA,Big Ten,Bloomington,IN
99,Indiana State,,non-FBS,,
100,Indiana Wesleyan,,non-FBS,,
101,Iowa,IOWA,Big Ten,Iowa City,IA
102,Iowa State,IOWA STATE,Big 12,Ames,IA
103,Jackson State,,non-FBS,,
104,Jacksonville State,JVILLE ST,C-USA,Jacksonville,AL
105,James Madison,JAMES MAD,Sun Belt,Harrisonburg,VA
106,Kansas,KANSAS,Big 12,Lawrence,KS
107,Kansas State,KANSAS ST,Big 12,Manhattan,KS
108,Kennesaw State,KENNESAW,C-USA,Kennesaw,GA
109,Kent State,KENT STATE,MAC,Kent,OH
110,Kentucky,KENTUCKY,SEC,Lexington,KY
111,Kentucky Christian,,non-FBS,,
112,Kentucky State,,non-FBS,,
113,LSU,LSU,SEC,Baton Rouge,LA
114,Lafayette,,non-FBS,,
115,Lamar,,non-FBS,,
116,Lane College,,non-FBS,,
117,Lehigh,,non-FBS,,
118,Liberty,LIBERTY,C-USA,Lynchburg,VA
119,Lincoln (CA),,non-FBS,,
120,Lindenwood,,non-FBS,,
121,Little Rock,,non-FBS,,
122,Long Island University,,non-FBS,,
123,Louisiana,LA LAFAYET,Sun Belt,Lafayette,LA
124,Louisiana Tech,LA TECH,C-USA,Ruston,LA
125,Louisville,LOUISVILLE,ACC,Louisville,KY
126,Maine,,non-FBS,,
127,Marist,,non-FBS,,
128,Marshall,MARSHALL,Sun Belt,Huntington,WV
129,Maryland,MARYLAND,Big Ten,College Park,MD
130,Massachusetts,UMASS,Independent,Amherst,MA
131,McKendree,,non-FBS,,
132,McNeese,,non-FBS,,
133,Memphis,MEMPHIS,American,Memphis,TN
134,Mercer,,non-FBS,,
135,Mercyhurst,,non-FBS,,
136,Merrimack,,non-FBS,,
137,Miami,MIAMI FL,ACC,Coral Gables,FL
138,Miami (OH),MIAMI OH,MAC,Oxford,OH
139,Michigan,MICHIGAN,Big Ten,Ann Arbor,MI
140,Michigan State,MICH STATE,Big Ten,East Lansing,MI
